period,scenario,hdd_assumption,week_of_year,forecast_weekly_change_bcf,forecast_inventory_bcf,assumed_hdd_anomaly,weather_beta,as_of_date
2026-06-05,Base,Seasonal-normal weather,23,86.86293546495777,2664.862935464958,-3.534117647058824,-1.414229728248382,2026-05-29
2026-06-12,Base,Seasonal-normal weather,24,84.2356179715184,2749.0985534364763,-2.415584415584416,-1.414229728248382,2026-05-29
2026-06-19,Base,Seasonal-normal weather,25,76.4017490309505,2825.500302467427,-0.0903508771929824,-1.414229728248382,2026-05-29
2026-06-26,Base,Seasonal-normal weather,26,66.03759979556061,2891.537902262988,-1.2470588235294118,-1.414229728248382,2026-05-29
2026-07-03,Base,Seasonal-normal weather,27,71.03379924929075,2962.5717015122787,-0.922962962962963,-1.414229728248382,2026-05-29
2026-07-10,Base,Seasonal-normal weather,28,54.826198009863205,3017.397899522142,-0.4226190476190476,-1.414229728248382,2026-05-29
2026-07-17,Base,Seasonal-normal weather,29,35.71091364490905,3053.108813167051,-0.2768199233716475,-1.414229728248382,2026-05-29
2026-07-24,Base,Seasonal-normal weather,30,37.79776699295297,3090.906580160004,-0.1132478632478632,-1.414229728248382,2026-05-29
2026-07-31,Base,Seasonal-normal weather,31,38.65510304643794,3129.5616832064416,-0.2373563218390804,-1.414229728248382,2026-05-29
2026-08-07,Base,Seasonal-normal weather,32,41.30132791829882,3170.8630111247403,-0.5335968379446641,-1.414229728248382,2026-05-29
2026-08-14,Base,Seasonal-normal weather,33,46.54730847387607,3217.4103195986163,-0.8682336182336182,-1.414229728248382,2026-05-29
2026-08-21,Base,Seasonal-normal weather,34,52.36835630837216,3269.7786759069886,-1.223809523809524,-1.414229728248382,2026-05-29
2026-08-28,Base,Seasonal-normal weather,35,53.59859423856206,3323.3772701455505,-0.4866666666666667,-1.414229728248382,2026-05-29
2026-09-04,Base,Seasonal-normal weather,36,73.43754881146606,3396.8148189570165,-2.686932849364791,-1.414229728248382,2026-05-29
2026-09-11,Base,Seasonal-normal weather,37,71.69672746135636,3468.5115464183727,1.5009578544061304,-1.414229728248382,2026-05-29
2026-09-18,Base,Seasonal-normal weather,38,76.69469990167384,3545.2062463200464,-3.09375,-1.414229728248382,2026-05-29
2026-09-25,Base,Seasonal-normal weather,39,91.5980081160566,3636.804254436103,-9.1,-1.414229728248382,2026-05-29
2026-10-02,Base,Seasonal-normal weather,40,95.67718589391706,3732.48144033002,-9.702380952380953,-1.414229728248382,2026-05-29
2026-10-09,Base,Seasonal-normal weather,41,86.13475722430344,3818.616197554323,-8.772435897435898,-1.414229728248382,2026-05-29
2026-10-16,Base,Seasonal-normal weather,42,73.8670843083728,3892.483281862696,-5.883333333333333,-1.414229728248382,2026-05-29
2026-10-23,Base,Seasonal-normal weather,43,63.09676801987936,3955.580049882575,-6.4957142857142856,-1.414229728248382,2026-05-29
2026-10-30,Base,Seasonal-normal weather,44,30.40755806849561,3985.987607951071,0.2590909090909079,-1.414229728248382,2026-05-29
2026-11-06,Base,Seasonal-normal weather,45,33.61138045590873,4019.59898840698,-8.016666666666666,-1.414229728248382,2026-05-29
2026-11-13,Base,Seasonal-normal weather,46,-7.727834743506429,4011.871153663473,-10.733766233766232,-1.414229728248382,2026-05-29
2026-11-20,Base,Seasonal-normal weather,47,-26.774617272299384,3985.0965363911737,-5.943840579710155,-1.414229728248382,2026-05-29
2026-11-27,Base,Seasonal-normal weather,48,-44.036820604304616,3941.059715786869,-3.605000000000004,-1.414229728248382,2026-05-29
2026-12-04,Base,Seasonal-normal weather,49,-102.52821642530344,3838.5314993615657,-1.4576470588235395,-1.414229728248382,2026-05-29
2026-12-11,Base,Seasonal-normal weather,50,-119.48464758348378,3719.046851778082,-7.24166666666666,-1.414229728248382,2026-05-29
2026-12-18,Base,Seasonal-normal weather,51,-137.94800297593522,3581.0988488021467,6.231578947368419,-1.414229728248382,2026-05-29
2026-12-25,Base,Seasonal-normal weather,52,-45.01720536241341,3536.0816434397334,-33.75999999999999,-1.414229728248382,2026-05-29
2027-01-01,Base,Seasonal-normal weather,53,-1.67141064888092,3534.4102327908527,-1.0625,-1.414229728248382,2026-05-29
2027-01-08,Base,Seasonal-normal weather,1,-111.7854167889341,3422.6248160019186,-10.466666666666669,-1.414229728248382,2026-05-29
